epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,27524.2,0.03113,0.75299,0.88348,0.71721,0.74878,0.80652,0.80652,0.05545,0.81594,0.19215,0.000250075,0.000250075,0.000250075
77,27889.3,0.03056,0.74995,0.88213,0.71966,0.74626,0.80617,0.80617,0.05533,0.81843,0.19202,0.000240076,0.000240076,0.000240076
78,28254.9,0.03055,0.74295,0.88519,0.71559,0.75038,0.80564,0.80564,0.05525,0.82047,0.19183,0.000230077,0.000230077,0.000230077
79,28623.1,0.0304,0.74538,0.88531,0.71499,0.7499,0.80506,0.80506,0.0551,0.82235,0.19166,0.000220078,0.000220078,0.000220078
80,28989.3,0.03044,0.74324,0.88544,0.71139,0.75131,0.80482,0.80482,0.05506,0.82396,0.19162,0.000210079,0.000210079,0.000210079
81,29355.2,inf,0.73349,0.88365,0.71072,0.7516,0.80477,0.80477,0.05478,0.82683,0.19133,0.00020008,0.00020008,0.00020008
82,29722.3,inf,0.73448,0.88446,0.70763,0.75469,0.80441,0.80441,0.05444,0.8297,0.19092,0.000190081,0.000190081,0.000190081
83,30088.1,0.02971,0.72782,0.88456,0.70916,0.75139,0.80389,0.80389,0.05423,0.83192,0.19068,0.000180082,0.000180082,0.000180082
84,30449.3,inf,0.73174,0.88427,0.70784,0.75346,0.8036,0.8036,0.05418,0.83405,0.19061,0.000170083,0.000170083,0.000170083
85,30809.5,0.02948,0.72592,0.88539,0.70788,0.75336,0.80294,0.80294,0.05427,0.8371,0.19072,0.000160084,0.000160084,0.000160084
86,31168.4,0.02958,0.72277,0.88335,0.70696,0.75467,0.8024,0.8024,0.0544,0.83879,0.19086,0.000150085,0.000150085,0.000150085
87,31527.7,0.02943,0.72059,0.88435,0.70663,0.75475,0.80209,0.80209,0.05436,0.84066,0.19079,0.000140086,0.000140086,0.000140086
88,31888.1,0.02915,0.71073,0.88393,0.70631,0.75428,0.80206,0.80206,0.05425,0.84287,0.1907,0.000130087,0.000130087,0.000130087
89,32247.2,0.02915,0.71077,0.88391,0.70385,0.75621,0.80178,0.80178,0.054,0.84496,0.19041,0.000120088,0.000120088,0.000120088
