epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,32066.4,0.91832,0.40887,0.95233,0.89583,0.81829,0.89204,0.59843,1.1636,0.51463,1.047,0.000160084,0.000160084,0.000160084
86,32347.4,0.91262,0.40566,0.94809,0.89469,0.81911,0.89175,0.59816,1.164,0.51465,1.04718,0.000150085,0.000150085,0.000150085
87,32628,0.91434,0.40742,0.9516,0.89466,0.8189,0.89195,0.59819,1.16433,0.51459,1.04746,0.000140086,0.000140086,0.000140086
88,32908.7,0.90702,0.40649,0.94736,0.89369,0.82037,0.89194,0.59825,1.16473,0.51467,1.04773,0.000130087,0.000130087,0.000130087
89,33191.4,0.90538,0.40214,0.94767,0.89438,0.81891,0.89187,0.59835,1.16506,0.51468,1.04795,0.000120088,0.000120088,0.000120088
90,33481.7,0.90842,0.40328,0.94896,0.89282,0.82018,0.89198,0.5982,1.16532,0.51505,1.04819,0.000110089,0.000110089,0.000110089
91,33767.4,0.90527,0.37736,0.93452,0.8918,0.82028,0.892,0.59837,1.16545,0.51496,1.04858,0.00010009,0.00010009,0.00010009
92,34038.4,0.89058,0.36707,0.93074,0.8917,0.82027,0.89164,0.59838,1.1658,0.51529,1.04875,9.0091e-05,9.0091e-05,9.0091e-05
93,34309.1,0.88626,0.36308,0.92771,0.89167,0.81999,0.89172,0.59802,1.16631,0.51576,1.04915,8.0092e-05,8.0092e-05,8.0092e-05
94,34580,0.88159,0.36283,0.92465,0.89137,0.81989,0.89167,0.59807,1.16658,0.51583,1.04932,7.0093e-05,7.0093e-05,7.0093e-05
95,34851.5,0.88125,0.36132,0.92731,0.89136,0.81979,0.89172,0.59786,1.16702,0.5161,1.04975,6.0094e-05,6.0094e-05,6.0094e-05
96,35122,0.87801,0.35914,0.92469,0.89099,0.81979,0.89157,0.59785,1.16715,0.51684,1.04987,5.0095e-05,5.0095e-05,5.0095e-05
97,35391.8,0.87747,0.35847,0.92428,0.89162,0.81872,0.89112,0.59755,1.1673,0.51691,1.05014,4.0096e-05,4.0096e-05,4.0096e-05
98,35661.1,0.87334,0.35736,0.92406,0.8911,0.81911,0.89121,0.59766,1.16757,0.51721,1.05036,3.0097e-05,3.0097e-05,3.0097e-05
99,35932.6,0.87441,0.35813,0.92568,0.89059,0.81959,0.89128,0.59745,1.16797,0.51752,1.05076,2.0098e-05,2.0098e-05,2.0098e-05
100,36203,0.87078,0.35683,0.92404,0.89109,0.81988,0.89141,0.59756,1.16806,0.5177,1.05097,1.0099e-05,1.0099e-05,1.0099e-05
